ans,circle_r,circle_g,circle_b,bg_r,bg_g,bg_b
3,0.24683667776828655,0.21342619773353233,0.2003366987859334,0.9779460401490853,0.9779460401490853,0.9779460401490853
3,0.113287755739501,0.10473311081971061,0.04588721825351611,0.8183080537325035,0.8183080537325035,0.8183080537325035
0,0.9795646896652704,0.42022575630354925,0.07119146327920517,0.6902299453895665,0.6902299453895665,0.6902299453895665
3,0.5693562687365206,0.50516730506264,0.18505204571907283,0.5103616563179266,0.5103616563179266,0.5103616563179266
0,0.865735301245804,0.656642673614046,0.5149793028088906,0.20148237811313152,0.20148237811313152,0.20148237811313152
3,0.8301675867743363,0.8342836935595056,0.3801437010847479,0.5451609015698003,0.5451609015698003,0.5451609015698003
1,0.4006423131432796,0.26884073209734954,0.1961916681567813,0.04211896547671934,0.04211896547671934,0.04211896547671934
3,0.21149369265148854,0.07023497881639547,0.025303589429553606,0.430768085556407,0.430768085556407,0.430768085556407
0,0.9382734942595886,0.6905016808947518,0.5181565469568872,0.5176488201329299,0.5176488201329299,0.5176488201329299
3,0.1210989662571802,0.11480813783344497,0.0006194062983742924,0.47766020002051923,0.47766020002051923,0.47766020002051923
0,0.6641252841486687,0.4937198228906702,0.36705067011002296,0.7323701053282459,0.7323701053282459,0.7323701053282459
3,0.33914934899785876,0.2677424992996978,0.1154488023441676,0.07795891107190955,0.07795891107190955,0.07795891107190955
3,0.06155461005114138,0.03923860851136419,0.02385032461009008,0.7409058589600733,0.7409058589600733,0.7409058589600733
3,0.14720722476074743,0.13899535620861828,0.03954164218264182,0.028563107385213615,0.028563107385213615,0.028563107385213615
3,0.7951035600395691,0.7318394618950734,0.4964805822666536,0.5681581840995406,0.5681581840995406,0.5681581840995406
3,0.28540758966706115,0.27292043787741177,0.23184179696103352,0.11662196544181325,0.11662196544181325,0.11662196544181325
0,0.4419413858753841,0.24553266649886699,0.07281028482067951,0.0271489916167319,0.0271489916167319,0.0271489916167319
0,0.6894356187610287,0.4396306864332809,0.32571286951461514,0.002307635450852996,0.002307635450852996,0.002307635450852996
0,0.7354151739657786,0.3759008500232626,0.21468511285163797,0.45040304649286467,0.45040304649286467,0.45040304649286467
1,0.12761901126348385,0.10262419820227194,0.036731029369086995,0.5147955953043032,0.5147955953043032,0.5147955953043032
3,0.13345018845746243,0.1358451348455526,0.08607559660550618,0.14192324716281157,0.14192324716281157,0.14192324716281157
3,0.10476534454203368,0.058014511028552054,0.027572400929500144,0.5277752508671314,0.5277752508671314,0.5277752508671314
1,0.38729352899751424,0.29159593440192244,0.2323621869431676,0.7521093109701659,0.7521093109701659,0.7521093109701659
3,0.9373734901716133,0.8693192248598665,0.7629994890971173,0.6256270882423076,0.6256270882423076,0.6256270882423076
3,0.01183129018054574,0.009695704552782168,0.0076252337874137925,0.15142376525461598,0.15142376525461598,0.15142376525461598
1,0.5162821085114602,0.40348706431706455,0.3037453671622763,0.5913119387233227,0.5913119387233227,0.5913119387233227
3,0.8957389545560224,0.8089949834077057,0.5339225311853096,0.11939926920071375,0.11939926920071375,0.11939926920071375
3,0.794471688228703,0.7093235244222637,0.04868830223754017,0.08677904758576371,0.08677904758576371,0.08677904758576371
3,0.8170558006491802,0.7988238047719263,0.7215215405410695,0.971775098090241,0.971775098090241,0.971775098090241
3,0.8058076070189026,0.6094136150687364,0.1404224527960761,0.1656981181067292,0.1656981181067292,0.1656981181067292
3,0.17036561154898477,0.16745605522878607,0.16464122259968486,0.2385681025068277,0.2385681025068277,0.2385681025068277
0,0.3312734922673448,0.16898983800004863,0.07968332536386286,0.29198819172546153,0.29198819172546153,0.29198819172546153
3,0.5246330887527632,0.4551595724953572,0.08328971780371078,0.19989468435865487,0.19989468435865487,0.19989468435865487
3,0.9656761161459432,0.9130532686892603,0.8852013029766092,0.1178951886468258,0.1178951886468258,0.1178951886468258
1,0.24593530391658447,0.23186177723578752,0.20524347078656555,0.4548210282161371,0.4548210282161371,0.4548210282161371
0,0.7331112461332134,0.33211921941336914,0.09239816076911488,0.6319401656301429,0.6319401656301429,0.6319401656301429
1,0.5785852583639609,0.5353403241507392,0.4380815317147334,0.716714521335428,0.716714521335428,0.716714521335428
3,0.03755129619702968,0.02753346200197791,0.018963503878841693,0.0016238606782085219,0.0016238606782085219,0.0016238606782085219
0,0.49897059907465036,0.30374119974790675,0.11746558140181358,0.14521108263457017,0.14521108263457017,0.14521108263457017
3,0.8484154221319788,0.8466082310621059,0.8239046283978642,0.7334997695829164,0.7334997695829164,0.7334997695829164
3,0.38112223604633066,0.37129460748594395,0.35261212153307964,0.05219768064171448,0.05219768064171448,0.05219768064171448
3,0.4991275944937087,0.4937581066624879,0.41646067335028925,0.3726505769618329,0.3726505769618329,0.3726505769618329
3,0.15127405318337916,0.15022545590550487,0.14762101602923136,0.6065199332983964,0.6065199332983964,0.6065199332983964
0,0.8475631374278348,0.6223937754493383,0.44467953995045517,0.5896640489063073,0.5896640489063073,0.5896640489063073
2,0.6554217542654844,0.5113801530233117,0.12418360014391383,0.6253731589342522,0.6253731589342522,0.6253731589342522
3,0.8143791983633902,0.7076015976267126,0.32246391162407106,0.08289879199697647,0.08289879199697647,0.08289879199697647
3,0.8616006331151718,0.8356290025858636,0.022210611585800073,0.07909357560372376,0.07909357560372376,0.07909357560372376
0,0.8483793282795221,0.3607387070499904,0.08883430304158153,0.11002884886496622,0.11002884886496622,0.11002884886496622
3,0.4696530209648428,0.47007343293844384,0.4196107110213428,0.4550041199247379,0.4550041199247379,0.4550041199247379
3,0.549669516255725,0.503809457699436,0.28757603397587983,0.15859054742281475,0.15859054742281475,0.15859054742281475
3,0.5326763379465081,0.5238598944480616,0.5178930326485655,0.183715688680954,0.183715688680954,0.183715688680954
0,0.9184650905657326,0.5843270470921291,0.15340672349391915,0.36781242802594094,0.36781242802594094,0.36781242802594094
1,0.5567396225171043,0.44513753201006967,0.2839162801879899,0.969729695485659,0.969729695485659,0.969729695485659
3,0.3498706371372575,0.34467307512140405,0.32371365710283073,0.7376617007045893,0.7376617007045893,0.7376617007045893
1,0.5764954532737088,0.4173871858895775,0.046487490215114856,0.5925994885339643,0.5925994885339643,0.5925994885339643
3,0.10084159039379326,0.10007482648686623,0.06820512053833822,0.28130859490960813,0.28130859490960813,0.28130859490960813
1,0.34408004923792945,0.2839351646179818,0.25411416975743806,0.8250439020103034,0.8250439020103034,0.8250439020103034
1,0.21293843149773173,0.17696846539529612,0.09212132965438015,0.4142434438959369,0.4142434438959369,0.4142434438959369
3,0.08940483028996193,0.08906515991047051,0.08871141190102108,0.0027842227878337455,0.0027842227878337455,0.0027842227878337455
0,0.5782259297867721,0.29393974013159535,0.10107840198676356,0.09713836009128374,0.09713836009128374,0.09713836009128374
3,0.8319175568551335,0.8318771825880075,0.8313525968350753,0.7661642199767417,0.7661642199767417,0.7661642199767417
3,0.10362768915302722,0.03969132121311413,0.015930119041710794,0.9187397050627568,0.9187397050627568,0.9187397050627568
3,0.57155582461585,0.5554110787690748,0.06724496058246855,0.5716493157976872,0.5716493157976872,0.5716493157976872
0,0.8850972196291818,0.4879812893399855,0.3285466839897344,0.9665864855068289,0.9665864855068289,0.9665864855068289
1,0.30540752116335623,0.17629374079802546,0.12729451788973636,0.6004523943965652,0.6004523943965652,0.6004523943965652
3,0.9820894707461854,0.9026954527418546,0.4973014088317002,0.08703849637779926,0.08703849637779926,0.08703849637779926
3,0.12484367019596099,0.08220955214571894,0.018926075779305093,0.26899311811759896,0.26899311811759896,0.26899311811759896
3,0.20282920059644194,0.17236376808539922,0.16189697710618844,0.07680726786365544,0.07680726786365544,0.07680726786365544
3,0.9389174651606884,0.8379763309456838,0.057179541335991874,0.6965429015008663,0.6965429015008663,0.6965429015008663
3,0.7913806828944568,0.6856098563073271,0.4570404937991617,0.36984580164365266,0.36984580164365266,0.36984580164365266
3,0.3784864852436583,0.3964055533713706,0.03177044833965522,0.62441057162055,0.62441057162055,0.62441057162055
0,0.5487692202968083,0.29815504545394345,0.1455874237966954,0.6380371139953238,0.6380371139953238,0.6380371139953238
0,0.7470611438230865,0.6603211992074794,0.5724269273871322,0.6785462805267821,0.6785462805267821,0.6785462805267821
3,0.9553252553070001,0.6885898999255632,0.1391058144812948,0.48794270287104125,0.48794270287104125,0.48794270287104125
1,0.23437024712475907,0.11102327002412449,0.008327883852010798,0.8519093891136806,0.8519093891136806,0.8519093891136806
3,0.2313016650802846,0.19444026336919995,0.019974113237902106,0.16845813834477996,0.16845813834477996,0.16845813834477996
3,0.08320739567610702,0.06206431851395652,0.037439220300150136,0.5851978234207132,0.5851978234207132,0.5851978234207132
0,0.9033123534536361,0.43166937240810554,0.14696568873003665,0.888560155567238,0.888560155567238,0.888560155567238
3,0.11189033837750717,0.08950606603054219,0.0031311896942729377,0.5290704567769601,0.5290704567769601,0.5290704567769601
3,0.5681038294962242,0.5516231520871722,0.5109088865623923,0.9002841851105344,0.9002841851105344,0.9002841851105344
3,0.14063139381897727,0.11214819296057763,0.08588294859242575,0.33555142066857724,0.33555142066857724,0.33555142066857724
1,0.31857269983974756,0.25852375773421515,0.16843297040242186,0.6874110403391398,0.6874110403391398,0.6874110403391398
3,0.23218820072585333,0.23495623405868016,0.15613544046640837,0.03947216586447888,0.03947216586447888,0.03947216586447888
1,0.6234419994366496,0.49776770406400705,0.37810366350481545,0.8150144963141154,0.8150144963141154,0.8150144963141154
3,0.6552193724091163,0.6730509209477613,0.2941164753127693,0.13102262179781055,0.13102262179781055,0.13102262179781055
3,0.6812555141820497,0.6636722276994278,0.5596521072160602,0.5863859353924821,0.5863859353924821,0.5863859353924821
3,0.41826003719637517,0.4000312582675575,0.3644729084757308,0.924495916464988,0.924495916464988,0.924495916464988
1,0.17391355356959493,0.119818198776251,0.07705598360370397,0.22889983576958894,0.22889983576958894,0.22889983576958894
3,0.9559494879327126,0.9569068889251614,0.03304930908955128,0.7197135488508624,0.7197135488508624,0.7197135488508624
3,0.93037436112266,0.8945758322179761,0.8438850457138397,0.6849876545426076,0.6849876545426076,0.6849876545426076
3,0.824245503740979,0.7767557434648356,0.36846282598299035,0.244498067192497,0.244498067192497,0.244498067192497
3,0.7526672928303023,0.7483117316458974,0.5622366061412502,0.26388820856486683,0.26388820856486683,0.26388820856486683
3,0.17333859416067365,0.11614789168442409,0.06681193582043488,0.6889238620409266,0.6889238620409266,0.6889238620409266
3,0.13413763473769946,0.11629199888244553,0.028133419678164025,0.6919868286456973,0.6919868286456973,0.6919868286456973
3,0.375393742568938,0.35293449885042705,0.29780803198714634,0.7554792905408659,0.7554792905408659,0.7554792905408659
0,0.5704368908731723,0.40169117430737816,0.3093897435718259,0.005136620156265814,0.005136620156265814,0.005136620156265814
1,0.5187620175439077,0.4455608553998471,0.4093388363449,0.7578461655164311,0.7578461655164311,0.7578461655164311
3,0.9251955599826793,0.8949980518208253,0.8455713280538112,0.0748594584590978,0.0748594584590978,0.0748594584590978
1,0.43102739140085367,0.3280028374297211,0.19332686508650695,0.8576082752876946,0.8576082752876946,0.8576082752876946
1,0.3552625026176487,0.3181563786119835,0.24194310823918322,0.6871210003036757,0.6871210003036757,0.6871210003036757
3,0.45957193094523885,0.4116333913364877,0.19460435598754253,0.28953479346844346,0.28953479346844346,0.28953479346844346
3,0.07169599930949477,0.06422226642069997,0.03517895610548254,0.3051299981146559,0.3051299981146559,0.3051299981146559
1,0.49488992195410786,0.428235212557679,0.32487167356291285,0.6281942482019339,0.6281942482019339,0.6281942482019339
3,0.5807438660108105,0.5850009001651573,0.416554720075463,0.3533899928641918,0.3533899928641918,0.3533899928641918
3,0.994133606655997,0.7842712772288991,0.14322066424770039,0.39400716345499953,0.39400716345499953,0.39400716345499953
3,0.848471401378677,0.8678878545340795,0.02464582927818765,0.8881569503533603,0.8881569503533603,0.8881569503533603
0,0.8808868274803817,0.6589086395206443,0.24742878374953703,0.21372599781905777,0.21372599781905777,0.21372599781905777
0,0.6428553042593199,0.514135105429226,0.36582885174926527,0.49506532532195735,0.49506532532195735,0.49506532532195735
1,0.17179948885965945,0.15789769708607415,0.029736876095621242,0.1782777281587521,0.1782777281587521,0.1782777281587521
3,0.8605866927693177,0.8144975283906544,0.6888164013331015,0.006789524425432014,0.006789524425432014,0.006789524425432014
0,0.9422144887373235,0.7076180475506275,0.3878896629707102,0.36683888772019113,0.36683888772019113,0.36683888772019113
3,0.8536280236174845,0.7378406885969675,0.6680167483325795,0.23068303033470872,0.23068303033470872,0.23068303033470872
3,0.5746749899829484,0.5630175438424757,0.5344512881148257,0.15614624388749454,0.15614624388749454,0.15614624388749454
3,0.7928075822000413,0.7919375883479294,0.3928149916702574,0.030029064868638877,0.030029064868638877,0.030029064868638877
3,0.38479647908446113,0.3460214424072653,0.33358702995242245,0.3879226379912254,0.3879226379912254,0.3879226379912254
3,0.5278631673094616,0.5155604316141684,0.5106523228611604,0.3169721139613051,0.3169721139613051,0.3169721139613051
0,0.7585353719399452,0.46945180919271984,0.08341788436337362,0.12904560570866175,0.12904560570866175,0.12904560570866175
3,0.05883602436007862,0.03416378904115097,0.006674222928478644,0.9353890678967246,0.9353890678967246,0.9353890678967246
3,0.41278292348294987,0.3775619523116241,0.26905896512602984,0.019070091896569497,0.019070091896569497,0.019070091896569497
3,0.9944854292637033,0.9048528747742309,0.63585397618992,0.026402749682436166,0.026402749682436166,0.026402749682436166
3,0.1080750893122111,0.09550414518841153,0.08459219197384484,0.17616580230465206,0.17616580230465206,0.17616580230465206
3,0.7380810642883763,0.7165234811327262,0.6482829940933009,0.6264963874379335,0.6264963874379335,0.6264963874379335
3,0.9637254373242328,0.8468582389124913,0.39287296411287187,0.5615168226194863,0.5615168226194863,0.5615168226194863
3,0.5601372150834963,0.5408550889731636,0.40542430584563993,0.784469584079598,0.784469584079598,0.784469584079598
3,0.03263510211062992,0.022308774797106332,0.005495060439888824,0.7581339275250673,0.7581339275250673,0.7581339275250673
0,0.6187865405179698,0.40995389764991674,0.32606643997628104,0.5031594225257768,0.5031594225257768,0.5031594225257768
3,0.7546748051337683,0.7364687461449863,0.31366551315598007,0.6632356602161751,0.6632356602161751,0.6632356602161751
3,0.72402338796412,0.6838334885904495,0.5233228267902822,0.6410192672060673,0.6410192672060673,0.6410192672060673
3,0.3635190122123422,0.36275589081332754,0.3614533314961995,0.20891261972046582,0.20891261972046582,0.20891261972046582
3,0.3798081879049335,0.3952676815826387,0.13965802703717206,0.5704147923666569,0.5704147923666569,0.5704147923666569
0,0.8709002150277045,0.7347484315171054,0.6284642582161923,0.7139201034752954,0.7139201034752954,0.7139201034752954
1,0.26070086459889075,0.19985814238717348,0.13079345401612566,0.927894321410088,0.927894321410088,0.927894321410088
3,0.9286640849947196,0.9411640248649533,0.7346506115840429,0.3311191480216408,0.3311191480216408,0.3311191480216408
3,0.03833807577876369,0.02966576279880441,0.017056942610851323,0.7775705110212334,0.7775705110212334,0.7775705110212334
3,0.6069134734289874,0.5942925617695166,0.10449971064702511,0.6415218105015096,0.6415218105015096,0.6415218105015096
0,0.8527703271288304,0.49059474661429864,0.34104222326617456,0.2022795940461769,0.2022795940461769,0.2022795940461769
0,0.640336016363672,0.4343813091209191,0.1888067251603339,0.4805449942743507,0.4805449942743507,0.4805449942743507
1,0.5004022068165588,0.4197213808392528,0.30076768463628206,0.983226907121559,0.983226907121559,0.983226907121559
3,0.6524978940203532,0.29781253754569276,0.18104694299326982,0.8793011526558748,0.8793011526558748,0.8793011526558748
1,0.2056716447750312,0.20345740461806527,0.0766592410954076,0.8611250856507654,0.8611250856507654,0.8611250856507654
3,0.16168135093265557,0.15910424824161928,0.1469088319282455,0.023024671329854862,0.023024671329854862,0.023024671329854862
3,0.8033303684416087,0.768947326557051,0.7489802851853077,0.5260431707277448,0.5260431707277448,0.5260431707277448
3,0.5840725054643493,0.575230335109026,0.5200749557347932,0.6022116279809548,0.6022116279809548,0.6022116279809548
0,0.6894723296037247,0.4552069883744102,0.24701085825495814,0.14295289110107112,0.14295289110107112,0.14295289110107112
3,0.2347974128785656,0.21619641855078853,0.19253570944458182,0.7951405824094742,0.7951405824094742,0.7951405824094742
3,0.1433095315047005,0.1365241304352385,0.1292004101967004,0.23572268647492878,0.23572268647492878,0.23572268647492878
0,0.8585875121905411,0.6237495512816583,0.4157428430048141,0.5696805890809183,0.5696805890809183,0.5696805890809183
3,0.20494706430404874,0.2043719012858605,0.20412321427193564,0.3883239741803636,0.3883239741803636,0.3883239741803636
3,0.9794845587392191,0.8742889479119728,0.38041174669700156,0.7153717294640465,0.7153717294640465,0.7153717294640465
3,0.7535303543620742,0.7547914802922182,0.5405065238969525,0.7269410044277871,0.7269410044277871,0.7269410044277871
3,0.2595684641518687,0.2623664669521413,0.13780623428021024,0.5123453210881157,0.5123453210881157,0.5123453210881157
3,0.4130149271654949,0.3747333444683419,0.1224561603142302,0.9033892598484564,0.9033892598484564,0.9033892598484564
3,0.2973558655030244,0.29656739849121105,0.27445979214135735,0.31954647949528214,0.31954647949528214,0.31954647949528214
2,0.4184550986204656,0.2811551167838046,0.012082018962969404,0.06496296299307946,0.06496296299307946,0.06496296299307946
1,0.3180874297616849,0.2268693176665723,0.04212541007028532,0.518085876932775,0.518085876932775,0.518085876932775
3,0.7305677015231786,0.6728413163702421,0.578077237889885,0.38328403870946504,0.38328403870946504,0.38328403870946504
3,0.6320587915943363,0.612526262887821,0.5670959316287308,0.5759435623919504,0.5759435623919504,0.5759435623919504
3,0.15810914151555522,0.10920162151042986,0.053538469962827004,0.3983309794254244,0.3983309794254244,0.3983309794254244
3,0.42352714792350155,0.4100004287232177,0.18992553382926933,0.816959844457931,0.816959844457931,0.816959844457931
3,0.10609661072469834,0.09942872111780236,0.09671056974876688,0.7496563790013139,0.7496563790013139,0.7496563790013139
3,0.09983219690695844,0.059521582119377484,0.009271741008007631,0.8738578548558137,0.8738578548558137,0.8738578548558137
0,0.8308738449244565,0.6073574434259624,0.09813825792537602,0.8523335145582355,0.8523335145582355,0.8523335145582355
3,0.9738167309465787,0.9734521562370393,0.9523370378474463,0.12377702077843467,0.12377702077843467,0.12377702077843467
3,0.613540566342183,0.27027196188409314,0.07719299557837535,0.6522281276898141,0.6522281276898141,0.6522281276898141
3,0.29077476593617013,0.2904476423733479,0.25999958932696826,0.47506760230554634,0.47506760230554634,0.47506760230554634
0,0.9038588470411242,0.815117814911433,0.6454142762919214,0.9252742713877352,0.9252742713877352,0.9252742713877352
3,0.9129406777827883,0.9125164837942472,0.6226622003219624,0.01896811764684525,0.01896811764684525,0.01896811764684525
3,0.0013636080659840829,0.0013942866344855975,0.00017806437574169603,0.5570160794135054,0.5570160794135054,0.5570160794135054
3,0.1781597043438039,0.14161207084984603,0.09727698788835366,0.7396290956854507,0.7396290956854507,0.7396290956854507
3,0.6749610226222916,0.6103968925955557,0.14183660456005015,0.3898620929358211,0.3898620929358211,0.3898620929358211
3,0.9178073534775026,0.7680153720295613,0.3970235893008137,0.7585900077206291,0.7585900077206291,0.7585900077206291
0,0.7220290604337573,0.604600213390326,0.5276636337786276,0.6062174471857241,0.6062174471857241,0.6062174471857241
3,0.21796807458908862,0.17615761791879106,0.13477914988888778,0.9133056399390708,0.9133056399390708,0.9133056399390708
0,0.7951974014769616,0.36306668415873516,0.1624986182818913,0.25045847839117896,0.25045847839117896,0.25045847839117896
3,0.7114184261600518,0.5751630591186594,0.2909588063188992,0.42987611389999725,0.42987611389999725,0.42987611389999725
3,0.0919521144198634,0.06222013694077136,0.02023531774301041,0.8176636490942133,0.8176636490942133,0.8176636490942133
3,0.7398589773136488,0.7199497961467753,0.45204182206822263,0.3360171744025293,0.3360171744025293,0.3360171744025293
3,0.9034325900263167,0.7671123665989767,0.40475159518881615,0.5179352407236131,0.5179352407236131,0.5179352407236131
0,0.7469345505510872,0.40840552836739014,0.1204467326065926,0.7652980946218733,0.7652980946218733,0.7652980946218733
3,0.7107180396411942,0.5844547418318845,0.5155283407743222,0.2745815675148874,0.2745815675148874,0.2745815675148874
3,0.6064920452738047,0.5922696721438971,0.4601437188395595,0.5528552884110164,0.5528552884110164,0.5528552884110164
0,0.698491100044958,0.5651848911400124,0.10408732164994317,0.6270782257237869,0.6270782257237869,0.6270782257237869
3,0.5924093593442606,0.588153358296043,0.37876272349369694,0.7087266383389823,0.7087266383389823,0.7087266383389823
2,0.6212506644840086,0.30430729474166274,0.13903070302161027,0.9235373520035235,0.9235373520035235,0.9235373520035235
3,0.935502643655645,0.7322126044312018,0.3723758435312109,0.3593808296266814,0.3593808296266814,0.3593808296266814
1,0.5782377858538635,0.40683302407222616,0.2995208542339359,0.4360688824347281,0.4360688824347281,0.4360688824347281
0,0.7186210469190142,0.4399081333511227,0.07043336516221604,0.46161716459015834,0.46161716459015834,0.46161716459015834
3,0.1092281446553923,0.11222042954659761,0.037175730863648046,0.8201131563734249,0.8201131563734249,0.8201131563734249
1,0.4138805111826741,0.18533161248157212,0.04353991061167491,0.5875220742454499,0.5875220742454499,0.5875220742454499
3,0.24452170162597675,0.2442588886817792,0.1727823086518186,0.6467746926127046,0.6467746926127046,0.6467746926127046
3,0.20893679080359695,0.20522082488659643,0.14048656504195828,0.4547484624955379,0.4547484624955379,0.4547484624955379
3,0.9416866440104159,0.9492298046191157,0.28977983919866546,0.7672998678999902,0.7672998678999902,0.7672998678999902
3,0.010180793696665358,0.009502324232676218,0.004656514752330147,0.19180433975488953,0.19180433975488953,0.19180433975488953
3,0.44089755698350475,0.4012479960557041,0.32461807942395987,0.955296705241112,0.955296705241112,0.955296705241112
3,0.4431776293488674,0.4355007808283729,0.43140055985947856,0.7647089620931714,0.7647089620931714,0.7647089620931714
3,0.43153208709337365,0.37687388389258564,0.18621804677115406,0.5033459793647216,0.5033459793647216,0.5033459793647216
0,0.9076702245128699,0.6124640401766696,0.24144891906158822,0.891013959561436,0.891013959561436,0.891013959561436
3,0.03541907245714504,0.023715066839958422,0.014507380989153124,0.7551137095961934,0.7551137095961934,0.7551137095961934
0,0.42899771346809457,0.23439169944130017,0.08302465666907313,0.4107765687820619,0.4107765687820619,0.4107765687820619
3,0.9083339688541274,0.2845618387917904,0.03893714826397509,0.6122600227895074,0.6122600227895074,0.6122600227895074
3,0.11176722886950785,0.11216898032248346,0.10341800130058804,0.8936165897455576,0.8936165897455576,0.8936165897455576
3,0.7443763305878497,0.7412026981114792,0.727240458666225,0.11348784024659941,0.11348784024659941,0.11348784024659941
1,0.3321840500951184,0.23848350151111922,0.1609996912212796,0.3845935505626269,0.3845935505626269,0.3845935505626269
3,0.05779302986180279,0.05599796042994411,0.04984863552730802,0.2568354347238345,0.2568354347238345,0.2568354347238345
3,0.8547038506581913,0.8309776711348564,0.7895065850308693,0.17978232574011788,0.17978232574011788,0.17978232574011788
3,0.15841966084705328,0.13875637594541573,0.040396474273938686,0.1393114843426786,0.1393114843426786,0.1393114843426786
3,0.24910159301477675,0.24510352993562592,0.17132143375003156,0.3270057837054071,0.3270057837054071,0.3270057837054071
3,0.04392649494660461,0.022922072440218676,0.00802516324032231,0.1419009239420871,0.1419009239420871,0.1419009239420871
3,0.9697840145017024,0.9514477576271098,0.7808420911159261,0.8728208970184863,0.8728208970184863,0.8728208970184863
3,0.5474882999771761,0.4734546703122487,0.2788957256916976,0.08536600154879004,0.08536600154879004,0.08536600154879004
0,0.8224900428317851,0.7017071127646353,0.5342864683567371,0.6489393423911641,0.6489393423911641,0.6489393423911641
3,0.44068994421407026,0.4459273419401364,0.31137646184748347,0.611773595376815,0.611773595376815,0.611773595376815
1,0.6081508970833918,0.48261752599823043,0.19376077506935332,0.8654485748033875,0.8654485748033875,0.8654485748033875
3,0.6595371301393045,0.5992854182915942,0.3328841372025165,0.24828194786544155,0.24828194786544155,0.24828194786544155
3,0.0794303325225656,0.051905275762874195,0.01703708186304961,0.25888479507674145,0.25888479507674145,0.25888479507674145
3,0.10057393894042677,0.06751968144578016,0.05154926411248479,0.8552459486023417,0.8552459486023417,0.8552459486023417
3,0.7818934665831203,0.7523528693283318,0.5758011853662158,0.14300215952244455,0.14300215952244455,0.14300215952244455
1,0.26802268914594396,0.1888871961648552,0.04064984037953551,0.24565692841937792,0.24565692841937792,0.24565692841937792
